,title,code,desciption,university
243,Introduction to Machine Learning,cs680,"Introduction to modeling and algorithmic techniques for machines to learn concepts from data.  Generalization:  underfitting, overfitting, cross-validation. Tasks: classification, regression, clustering.  Optimization-based learning:  loss minimization, regularization.  Statistical learning: maximum likelihood, Bayesian learning.  Algorithms: nearest neighbor, (generalized) linear regression, mixtures of Gaussians, Gaussian processes, kernel methods, support vector machines, deep learning, sequence learning, ensemble techniques.  Large scale learning:  distributed learning and stream learning.  Applications: Natural language processing, computer vision, data mining, human computer interaction, information retrieval.",waterloo
244,Computational Techniques in Biological Sequence Analysis,cs682,"Computer science principles and algortihms in biological sequence analysis.  Topics include algotithms for sequence comparison, for large-scale database search in biological databases, for sequence assembly, for evolutionary tree reconstruction, for identifying important featrues in DNA and RNA sequences, and underlying computational techniques for understanding strings and trees and for making probabilistic inferences. (Heldwith CS 482).",waterloo
245,Computational Vision,cs684,"Introduction to image and vision understanding by computer.  Camera-system geometry, image formation and lighting, and image acquisition.  Basic visual processes for recognition of edges, regions, lines, and surfaces.  Processing of stereo images, and motion in image sequences.  Object recognition.  Applications of computer vision systems.",waterloo
246,Machine Learning: Statistical and Computational Foundations,cs685,"Extracting meaningful patterns from random samples of large data sets.  Statistical analysis of the resulting problems. Common algorithm paradigms for such tasks.  Central concepts: VC-dimension, Margins of classifier, Sparsity and description length.  Performance guarantees: Generalization bounds, data dependent error bounds and computational complexity of learning algorithms.  Common paradigms: Neural networks, Kernel methods and Support Vector machines, Applications to Data Mining.",waterloo
247,Introduction to Artificial Intelligence,cs686,Goals and methods of artificial intelligence. Methods of general problem solving. Introduction to mathematical logic Mechanical theorem proving. Game playing. Natural language processing. Preference will be given to CS graduate students.  All others require approval from the department. Department approval will be by Undergraduate Advisor.,waterloo
248,Introduction to Symbolic Computation,cs687,"An introduction to the use of computers for symbolic mathematical computation, involving traditional mathematical computations such as solving linear equations (exactly), analytic differentiation and integration of functions, and analytic solution of differential equations.",waterloo
249,Introduction to Computer Graphics,cs688,"Software and hardware for interactive computer graphics. Implementation of device drivers, 3-D transformations, clipping, perspective, and input routines. Data structures, hidden surface removal, colour shading techniques, and some additional topics will be covered. Preference will be given to CS graduate students.  All others require approval from the department.",waterloo
250,Literature and Research Studies,cs690A,This is an individual study course carried out under the supervision of a Computer Science faculty member. The topic should be agreed upon by both the student and the instructor. This is a credit/no credit course. Department permission will be by Coordinator of Graduate Studies.,waterloo
251,Literature and Research Studies,cs690B,This is an individual study course carried out under the supervision of a Computer Science faculty member. The topic should be agreed upon by both the student and the instructor. This is a grade course. Department permission will be by Coordinator of Graduate Studies.,waterloo
252,The Social Implications of Computing,cs692,"This course is designed to consider the problems encountered by individuals, organizations and society as computer technology is adopted, with a view towards assessing possible courses of action.",waterloo
253,Graduate Research Skills Seminar,cs697,"Research and life skills that can help graduate students improve their academic and interpersonal competence-research methodologies, library research skills, creative and critical thinking, time management, stress management, technical reading skills, listening skills, oral communication, writing and publishing in computer science, jobs in academica versus industry.",waterloo
254,Introductory Research Topics,cs698,"This number is used for courses being offered on a temporary basis. Such a course may be available only once, for example to take advantage of a visiting professor's expertise, or may be offered experimentally until it is determined whether of not the course should become part of the regular course offerings. It may also be used for an individual study course carried out under the supervision of a Computer Science faculty member with the approval from the Associate Chair, Graduate Studies. This is a grade course. Preference will be given to CS graduate students.  All others require approval of the Department.",waterloo
255,Database Engineering,cs740,Project-oriented course that covers the implementation of relational database management systems. Topics include database system architecture; managing primary and secondary storage; query processing; metadata and catalog management; language processing; query optimization and plan generation; concurrency; failures and recovery; extensibility; client-server interactions.,waterloo
256,Non-Traditional Databases,cs741,"Management of non-relational databases, such as multimedia databases, text databases, temporal databases or spatial databases. Each offering will target a specific type of data. Topics include rationale for and common applications of non-relational database management; systems and standards; the abstract data model; data definition and manipulation languages; data storage and indexing; query processing and optimization; updates and transaction management.",waterloo
257,Parallel and Distributed Database Systems,cs742,"Algorithms and architectures used in parallel database management systems, with a focus on relational systems. Topics include system architectures; parallel and distributed query processing; federated dtabase systems; distributed transactions; data replication.",waterloo
258,Principles of Database Management and Use,cs743,"An overview of relational databases and how they are used; exposure to relational database technology.  Fundamentals of transactions.  Database views. Introductions to two or three alternative data models and systems, such as those used for structured text, spatial data, multimedia data, and information retrieval.  Introduction to several current topics in database research, such as warehousing, data mining, managing data streams, data cleaning, data integration, and distributed databases.",waterloo
259,Advanced Compiler Design,cs744,"Project-oriented course that covers optimizing compilers and the implementation of advanced programming language features. Topics include intermediate representations; data-flow, dependence, and alias analysis; optimizing transforms, register allocation, instruction scheduling; memory management, garbage collection, threads, concurrency; single and multiple inheritance, generics, templates, type inference.",waterloo
260,Computer-Aided Verification,cs745,Application of formal methods to the verification of computer-based systems. Algebraic and automata preliminaries. Temporal logic and model checking. Decision procedures. Mechanized theorem proving. Advanced topics chosen by the instructor.,waterloo
261,Software Architecture,cs746,"A project-oriented course that covers the concepts in software architecture. Topics include basic concepts (components and connectors, rationale, views, architectural diagrams, team implictions, evolution, size considerations), theory underlying softeware architecture, extraction of architecture from implementation artifacts, architecture of web-based and enterprise systems, clustering of subsystems, visualization approaches to software architecture, comprehension and cognitive aspects of software architecture.",waterloo
262,Advanced Distributed Systems,cs754,"This course provides a broad discussion of advanced topics in modern distributed systems. The course will discuss the state of the art of these systems and how and why they reached there. The course will discuss current data center hardware and software architecture, communication middleware, and how modern systems can tolerate failures, maintain data consistency, scale, leverage the new hardware capabilities, and exploit highly concurrent hardware.",waterloo
263,System and Network Architectures and Implementation,cs755,"Distributed, multi-user applications are designed and implemented using many underlying technologies that must be coordinated to provide important features such as robustness, scalability, manageability, ubiquitous access, privacy, security, authentication, and role-based access control, to name only a few.  The network supporting the application may be crucial to its successful implementation.  The application logic itself is likely implemented in a number of languages and programming environments.  Students will be provided with an advanced overview of current networking and distributed systems topics, and will apply it to case studies drawn form consumer internet applications, enterprise systems, and medical and healthcare systems.",waterloo
264,Cryptography/Network Security,cs758,"Cryptographic protocols and their application to secure communication, especially in a network setting. Identification and entity authentication; protocols for key establishment, transport, agreement and maintenance; secret sharing, broadcast encryption, tracing schemes; certificates, public-key infrastructure, PGP.",waterloo
265,Randomized Algorithms,cs761,Introduction to the design and analysis of algorithms that make use of randomization. Topics include review of basic probabiloity and introduction to randomized algorithms; game theoretic techniques; uses of Markov and Chebyshev inequalities; tail inequalities; Markov chains and random walks; algebraic techniques; data structures and graph algorithms.,waterloo
266,Graph-Theoretic Algorithms,cs762,"Further exposure to the design, analysis and application of algorithms for problems defined on graphs. Topics include planarity testing and embedding; classes of planar graphs and fast algorithms for them; trees and tree-like graphs (bounded pathwidth and treewidth);  perfect graphs and intersection graphs.",waterloo
267,Computational Geometry,cs763,"Introduction to the design, analysis and application of algorithms for geometric problems. Topics include convex hull algorithms in two and three dimensions; Voronoi diagrams, Delaunay triangulations, and their applications; linear programming in low dimensions; line segments, planar subdivision, and polygons; range searching.",waterloo
268,Computational Complexity,cs764,"Further exposure to the classification of problems based on their computational requirements and to mathematical tools designed to explore the structural consequences of such classifications. Topics include relativization, alternation, provably intractable problems, feasible parallel computation; fixed-parameter tractability and the W-hierarchy; Kolmogorov complexity, including algorithmic and algorithmic prefix complexity and their applications.",waterloo
269,Algorithmic Number Theory,cs765,Fundamental problems of elementary and algebraic number theory from an algorithmic and computational complexity point of view with emphasis placed on analysis of algorithms. Topics include basic arithmetic algorithms; computation over finite fields; primality testing; algorithms for integer factorization; algorithms in number fields.,waterloo
270,Theory of Quantum Information,cs766,"Fundamentals of quantum information theory including states, measurements, operations, and their representations as matrices; measures of distance between quantum states and operations; quantum Shannon theory including von Neumann entropy, quantum noiseless coding, strong subadditivity of von Neuman entropy, Holevo's Theorem, and capabilities of quantum channels; theory of entanglement including measures of entanglement, entanglement transformation, and classifications of mixed-state entanglement; other topics in quantum information as time permits.",waterloo
271,Advanced Logic for Computer Science,cs767,"The course provides extended background in mathematical logic and its applications to various branches of computer science.  It covers some fundamental concepts such as soundness and completeness theorems, compactness, the expressive power of a logic and the computational complexity of its basic decision problems.  These concepts are being demonstrated on first order logic and modal logics.  Finally the course discusses examples of applications of these concepts and tools to formal reasoning about programs and about hardware, to data bases, and to knowledge representation.",waterloo
272,Quantum Information Processing,cs768,"Review of basics of quantum information and computational complexity; Simple quantum algorithms; Quantum Fourier transform and Shor factoring algorithm: Amplitude amplification, Grover search algorithm and its optimality; Completely positive trace-preserving maps and Kraus representation; Non-locality and communication complexity; Physical realizations of quantum computation: requirements and examples; Quantum error-correction, including CSS codes, and elements of fault-tolerant computation; Quantum cryptography; Security proofs of quantum key distribution protocols; Quantum proof systems.  Familiarity with theoretical computer science or quantum mechanics will also be an asset, though most students will not be familiar with both.",waterloo
273,Numerical Analysis,cs770,"Introduction to basic algorithms and techniques for numerical computing.  Error analysis, interpolation (including splines), numerical differentiation and integration, numerical linear algebra (including methods for linear systems, eigenvalue problems, and the singular value decomposition), root finding for nonlinear equations and systems, numerical ordinary differential equations, and approximation methods (including least squares, orthogonal polynomials, and Fourier transforms).",waterloo
274,Advanced Computational Finance,cs774,"Option pricing, hedging, model calibration, and portfolio optimization will be discussed.  Computational methods, including PDE methods, Monte Carlo, and mathematical programming will be presented.",waterloo
275,Parallel Algorithm in Scientific Computing,cs775,"Techniques for obtaining maximum parallelism in various numberical algorithms, especially those occurring when solving matrix problems and partial differential equations, and the subsequent mapping onto the computer. Topics include: parallel architecture and performance models; message passing/shared memory programming; matrix computations; fast Fourier transform; graph partitioning; domain decomposition methods.",waterloo
276,Numerical Solution of Partial Differential Equations,cs778,"Discretization methods for partial differential equations, including finite difference, finite volume and finite element methods. Application to elliptic, hyperbolic and parabolic equations. Convergence and stability issues, properties of discrete equations, and treatment of non-linearities. Stiffness matrix assembly and use of sparse matric software. Students should have completed a course in numerical computation at the undergraduate level.",waterloo
277,Splines and Their Use in Computer Graphics,cs779,"Spline theory and recent developments in techniques for representing, manipulating and rendering curves and surfaces constructed from splines in a graphic environment. Applications of interest include computer-aided design, synthetic image generation and animation.",waterloo
278,Advanced Symbolic Computation,cs780,"A deep investigation into fundamental problems of symbolic computation. These may include algorithms for linear, non-linear, and differential systems of symbolic equations, symbolic integration, factoring polynomials, and symbolic-numeric algorithms. Covers the basic data types and structures for algebraic objects and operations. Issues in the design of computer algebra systems.",waterloo
279,Colour in Computer Graphics,cs781,"In computer graphics, 3D models are rendered through an ideal camera to a 2D image. The virtual camera is a powerful tool, controlling not only perspective and the optical path, but colour mapping as well. This course examines the notion of ""colour"" at different stages of the computer graphics pipeline, and describes techniques for modelling and managing colour through the virtual camera analogy. Topics include illumination, the virtual camera, colour spaces, gamut mapping and colour management. Implementation of the colour reproduction and gamut-mapping algorithms demands a number of numerical and statistical methods, including multidimensional interpolation and approximation, computational geometry, splines, principal components anlysis and optimization.",waterloo
280,Pattern Discovery in Biomolecular Data,cs782,"This course examines, from an algorithmic point of view, the pattern discovery techniques that are currently used to extract the functional knowledge hidden in biomolecular data that is derived from DNA, RNA, proteins and their reaction products. Topics include: DNA sequence analysis, RNA structure prediction techniques, protein motif discovery techniques, protein structure prediction, analysis of expression data.",waterloo
281,Computer Modeling of Biophysical Phenomena,cs783,"This course addresses the computer (in silico) simulation of biophysical processes involved in the interaction of light with organic and inorganic matter.  Computer models used to simulate these processes are presented, and key stages of the simulation pipeline, such as data gathering, design constraints and evaluation methodologies, are examined in detail.  This course also includes discussions of open problems and current trends in the computer simulation of biophysical processes.  Application fields include, but are not limited to computer graphics, remote sensing, biology and biomedical optics.",waterloo
282,Computational Linguistics,cs784,"Computer understanding and generation of natural (i.e., human) languages. Basic topics in natural language understanding (syntax, semantics, pragmatics, connected discourse). Selected applications (e.g., automated language generation, machine translation, natural language processing and the Web).",waterloo
283,Intelligent Computer Interfaces,cs785,"Intelligence in interfaces-natural language processing, plan recognition, dialogue, generation, user modeling. Interfaces to intelligent systems-intelligent agents and multi-agent systems, information processing and data mining, knowledge-based systems.",waterloo
284,Probabilistic Inference and Machine Learning,cs786,"Covers the fundamental principles of probabilistic inference and computational learning systems. Topics include Bayes decision and utility theory, Monte Carlo and Markov chain Monte Carlo methods; learning with complete data; Bayesian networks, Markov random fields and factor graphs; models; learning with incomplete data; computational learning and PAC learning theory.",waterloo
285,Computational Vision,cs787,Fundamental problems in computational vision where efficient and robust algorithms can be applied. Topics include image formation; linear systems and Fourier theory; image registration; feature detection; fitting models to data; optical flow; structure from motion; steriopsis; object recognition; high-level vision.,waterloo
286,High-Performance Image Synthesis,cs788,Project-oriented course that covers high-performance image synthesis using techniques for both real-time interactive systems and offline physically-based rendering. Topics include numerical techniques; visual perception and light; mathematical models of rendering; global illumination algorithms; real-time rendering.,waterloo
287,User Interface Tools,cs789,"Graphics input devices and interaction techniques. The pragmatic factors of various physical, logical and virtual devices, human factors of interactive systems, interaction dialogue managers.",waterloo
288,Non-Photorealistic Rendering,cs791,"Fundamentals of non-photorealistic computer depiction.  Problems of style, abstraction and spatial and temporal coherence.  Stroke-based rendering and simulation of traditional artistic media.  Stylized processing of images and video.  Real-time non-photorealistic rendering of 3D models;  toon shaders and contour rendering.  Geometric art and ornamental design.",waterloo
289,Data Structures and Standards in Health Informatics,cs792,"This course focuses on health data as a key component of all health informatics systems.  Topics include ontologies and other classification taxonomies found in health systems, data standards (with a focus on Canadian implementations of international standards), privacy and security of health data, client/patient assessment tools, and ethical considerations.",waterloo
290,Optimization for Data Science,cs794,"Techniques for formulating data science models as optimization problems. Algorithms for solving data science problems with an emphasis on scalability, efficiency and parallelizability including gradient-descent based algorithms, derivative-free algorithms, and randomized algorithms. Theoretical analyses of algorithms and approaches for recognizing the most suitable algorithm for solving a particular problem.",waterloo
291,Fundamentals of Optimization,cs795,"Linear optimization: Farkas' Lemma, duality, Simplex method, geometry of polyhedra. Combinatorial optimization: integrality of polyhedra, total unimodularity, flow problems, weighted bipartite matching. Continuous optimization: convex sets, Separation Theorem, convex functions, analytic characterizations of convexity, Karush-Kuhn-Tucker Theorem.",waterloo
292,Advanced Research Topics,cs798,,waterloo
293,Advanced Topics in Data Structures,cs840,,waterloo
294,Advanced Topics in Language Design and Implementation,cs842,,waterloo
295,Advanced Topics in Software Engineering,cs846,,waterloo
296,Advanced Topics in Data Bases,cs848,,waterloo
297,Advanced Topics  in Computer Architecture,cs850,,waterloo
298,Advanced Topics in Computer Systems,cs854,,waterloo
299,Advanced Topics in Distributed Computing,cs856,,waterloo
300,"Advanced Topics in Cryptography, Security and Privacy",cs858,,waterloo
301,Advanced Topics in Algorithms and Complexity,cs860,,waterloo
302,Advanced Topics in Quantum Computing,cs867,The course description will vary according to the topic offered under this course title.,waterloo
303,Advanced Topics in Logic Design,cs869,,waterloo
304,Advanced Topics  in Scientific Computation,cs870,,waterloo
305,Advanced Topics in Bioinformatics,cs882,,waterloo
306,Advanced Topics in Computational Statistics,cs885,,waterloo
307,Advanced Topics in Artificial Intelligence,cs886,,waterloo
308,Advanced Topics in Symbolic Computation,cs887,,waterloo
309,Advanced Topics in Computer Graphics,cs888,,waterloo
310,Advanced Topics in Human-Computer Interaction,cs889,,waterloo
311,Advanced Special Topics in Computer Science,cs898,,waterloo
312,Introduction to Statistical Methods in Health Informatics,stat 631,"Exploratory data analysis and data visualization.  Confounding, censoring, selection bias, study designs and meta-analysis.  Statistical modelling for continuous and binary data.  Use of a statistics package, such as SAS, to analyze case studies will be important throughout.  This is open only to students registered in the Masters of Health Informatics plan.",waterloo
313,Literature and Research Studies,stat 690,,waterloo
314,Systematic Review and Meta-Analysis,stat 814,"This course will provide students with an overview of the rationale and stages involved in the conduct of a formal systematic review and meta-analysis of a well-defined clinical/health research question. The overarching aim is to provide students with the tools to critically appraise and conduct a systematic review and meta-analysis.  Students will largely work in pairs to progress through each step involved (with feedback from instructors at each stage) and to produce a final systematic review and meta-analysis to be presented/submitted at the end of the course.  
Course Objectives:
1.  To demonstrate an understanding of the rationale underlying a systematic review and meta-analysis and relevance to clinical care and health policy;
2.  To critically appraise a systematic review;
3.  To develop a focused research question amenable to a systematic review;
4.  To develop and implement a comprehensive and systematic literature search strategy;
5.  To determine and apply procedures for including/excluding potential studies for a systematic review and meta-analysis;
6.  To develop and implement a data abstraction process and study database;
7.  To demonstrate an understanding of the fundamental statistical/biostatistical issues relevant to the conduct of a formal systematic review and meta-analysis.
8.  To perform statistical analyses for a systematic review and meta-analysis and complete/present a final report demonstrating all stages involved.

Students will need to meet with Course Coordinators and provide of appropriate previous experience with linear and/or logistic regression techniques.",waterloo
315,Experimental Design,stat 830,"Review of experimental designs in a regression setting; analysis of variance; replication, balance, blocking, randomization, and interaction; one-way layout, two-way layout, and Latin square as special cases; factorial structure of treatments; covariates; treatment contrasts; two-level fractional factorial designs; fixed versus random effects; split-plot and repeated-measures designs; other topics.",waterloo
316,Generalized  Linear Models and Applications,stat 831,"Review of normal linear regression and maximum likelihood estimation. Computational methods, including Newton-Raphson and iteratively reweighted least squares. Binomial regression; the role of the link function. Goodness-of-fit, goodness-of-link, leverage. Poisson regression models. Generalized linear models. Other topics in regression modelling.",waterloo
317,Stochastic Processes,stat 833,"Random walks, renewal theory and processes and their application, Markov chains, branching processes, statistical inference for Markov chains.",waterloo
318,Statistical Methods for Process Improvement,stat 835,"Statistical methods for improving processes based on observational data. Assessment of measurement systems. Strategies for variation reduction. Process monitoring, control and adjustment. Clue generation techniques for determining the sources of variability. Variation transmission.",waterloo
319,Introduction to the Analysis of Spatial Data in Health Research,stat 836,The objective of this course is to develop understanding and working knowledge of spatial models and analysis of spatial data.  The course provides an introduction to the rudiments of statistaical inference based on spatially correlated data.  Methods of estimation and testing will be developed for geostatistical models based on variograms and spatial autoregressive models.  Concepts and application of methods will be emphasized through case studies and projects with health applications.,waterloo
320,Analysis of Longitudinal Data in Health Research,stat 837,"This course will provide an introduction to principles and methods for the analysis of longitudinal data.  Conditional and random effect of modeling approaches to regression analysis will be covered, as well as semiparametric methods based on generalized estimating equations.  The importance of model assessment and parameter interpretation will be emphasized.  Problems will be motivated by applications in epidemiology, clinical medicine, health services research, and disease natural history studies.  Students will be required to think critically about appropriate strategies for data analysis.  Analysis will be carried out with appropriate statistical software.",waterloo
321,Computational Inference,stat 840,"Introduction to and application of computational methods in statistical inference.  Monte Carlo evaluation of statistical procedures, exploration of the likelihood function through graphical and optimization techniques including EM.  Bootstrapping, Markov Chain Monte Carlo, and other computationally intensive methods.",waterloo
322,Statistical Learning - Classification,stat 841,"Given known group membership, methods which learn from data how to classify objects into the groups are treated.  Review of likelihood and posterior based discrimination.  Main topics include logistic regression, neural networks, tree-based methods and nearest neighbour methods.  Model assessment, training and tuning.",waterloo
323,Data Visualization,stat 842,"Visualization of high dimensional data including interactive methods directed at exploration and assessment of structure and dependencies in data.  Methods for finding groups in data including traditional and modern methods of cluster analysis.  Dimension reduction methods including multi-dimensional scaling, nonlinear and other methods.",waterloo
324,Statistical Learning - Function Estimation,stat 844,"Methods for finding surfaces in high dimensions from incomplete or noisy functional information.  Both data adaptive and methods based on fixed parametric structure will be treated.  Model assessment, training and tuning.",waterloo
325,Statistical Concepts for Data Science,stat 845,"This is a foundational survey course designed for Data Science students who do not have an undergraduate degree in statistics. It provides an understanding and  appreciation of the essential statistical concepts needed for Data Science. It has modular design with the following modules: probability for statistics, concepts of statistical inference, simulation and Monte Carlo methods, regression modelling, planning empirical studies, and drawing conclusions from data. Emphasis will
be on exposing students to the core concepts and illustrating them largely through examples.",waterloo
326,Exploratory Data Analysis,stat 847,"This course introduces Data Science students to exploratory data analysis with a focus on the concepts and tools necessary for understanding and successfully undertaking an end to end exploratory analysis of large and complex data.  All stages of data collection, preparation and cleaning, importation into a statistical programming environment, data manipulation, as well as analysis and visualization will be treated.  Material will be presented via case studies which will involve hands on programming and analysis.  Methods and models (both statistical and computational) will be introduced as needed according to the nature of the data encountered in each case.  The case studies will be chosen to give a breadth of experience to the student. A modern statistical programming language will be used throughout.",waterloo
327,Estimation and Hypothesis Testing,stat 850,Discussion of inference problems under the headings of hypothesis testing and point and interval estimation. Frequentist and Bayesian approaches to inference. Construction and evaluation of tests and estimators. Large sample theory of point estimation.,waterloo
328,Sampling Theory and Practice,stat 854,"Sources of survey error. Probability sampling designs, estimation and efficiency comparisons. Distribution theory and confidence intervals. Generalized regression estimation. Software for survey analysis.",waterloo
329,Short Course in Statistics,stat 870,,waterloo
330,Topics in Statistics,stat 890,,waterloo
331,Topics in Probability,stat 891,,waterloo
332,PhD Research Skills,stat 900,"This course acts as a capstone on the coursework based part of the PhD program and as a stepping stone to the PhD proposal and to research. It is aimed at developing research skills: critically reading published research, summarizing and synthesizing areas of research, writing and orally presenting summaries of research problems, data sets and theoretical and applied results. The course is designed to be integrative across core areas of the student discipline.",waterloo
333,Theory of Probability 1,stat 901,"Probability measures, random variables as measurable functions, expectation, independence, characteristic functions, limit theorems, applications.",waterloo
334,Theory of Probability 2,stat 902,"Review of conditioning on sigma-fields; martingale theory (discrete and continuous-time) and applications; counting processes; Brownian motion; stochastic differential and integral equations and applications; general theory of Markov processes (including martingale problems and semigroup theory), diffusions; weak convergence of stochastic processes on function spaces; functional versions of the central limit theorem and strong laws; convergence of empirical processes.",waterloo
335,Computer Intensive Methods for Stochastic Models in Finance,stat 906,"Review of basic numerical methods. Simulation of random variables, stochastic processes and stochastic models in finance. Numerical solution of deterministic and stochastic differential equations. Valuation of complex financial instruments and derivative securities. Project and paper.",waterloo
336,Statistical Inference,stat 908,"Principles of Inference: sufficiency, conditionality, and likelihood; examples and counter examples; conditional inference and ancillarity. Theory of Hypothesis Testing: Neyman-Pearson lemma; similar tests; invariant tests. Asymptotic Theory: maximum likelihood and related theory; large-sample properties of parametric significance tests. Interval Estimation: confidence intervals and significance intervals; location and scale models, conditional intervals. Introduction to Decision Theory: loss and risk functions, admissibility; minimax and Bayes rules; prior and posterior analysis. The course content of Stat 850 is a presumed prerequisite for Stat 908.",waterloo
337,Multivariate Analysis,stat 923,"Multivariate problems as extensions of univariate problems, discriminant analysis, canonical correlation and principle component analysis.",waterloo
338,Time Series 1,stat 929,"Iterative model building. ARIMA models, application to forecasting, seasonal models, applications.",waterloo
339,Time Series 2,stat 930,"Multiple time series modeling including transfer function and intervention analysis. Various special topics in time series such as outliers, robustness, order determination methods, Kalman filtering, sampling and aggregation, seasonal adjustments.",waterloo
340,Causal Inference and Epidemiological Studies,stat 931,"Causal inference in health research will be covered. Methods for the design and analysis of randomized controlled trials including randomization techniques, sample size and power calculations, and specialized additional topics including missing data, noncompliance, and ethics. The design and analysis of classical and modern epidemiological studies will then be discussed for settings in which randomization is not feasible. Causal inference methodologies for the analysis of observational data include propensity scores, marginal structural models and instrumental variables. Studies will be discussed from the epidemiological literature and other sources in the public domain. Simulations and data analyses will be carried out using software (e.g. R or SAS). Students will be trained and assessed in part based on the preparation of reports and delivery of presentations.",waterloo
341,Classification and Prediction in High Dimensional Analysis in Health Research,stat 932,"In this course, we will cover classification and prediction in health research with a view to applications to screening and diagnosis of disease. This will lead to methods for evaluating the performance of various types of statistical models and learning techniques/algorithms. Cross-validation and bootstrap approaches will be introduced for model performance evaluation, and we will discuss discrimination and calibration as different components of prediction performance. We will cover variable selection techniques, including for high-dimensional data, with an emphasis on regularization techniques such as the LASSO and its variants. Model validation, both internal and external, and model updating will be covered, and we will also discuss post-model selection inference. An important focus will be on biomarker evaluation for a given disease, potentially connected to therapy, and leading to coverage of precision/personalized medicine. Finally, there will be coverage on the importance of reproducible and replicable research. Examples from different problems in health, including genetics, will be presented, and software (e.g. R or SAS) will be used throughout the course.",waterloo
342,Analysis of Survival Data,stat 935,This course deals with methods of analyzing data on the time to failure with particular emphasis on the use of regression models for such data. Both parameteric and semi-parametric regression models will be considered.,waterloo
343,Analysis of Longitudinal Data,stat 936,"This course covers methods for analyzing data in which repeated measures have been obtained for individuals in health studies over time. Different methods will be discussed to handle both continuous and discrete longitudinal response data, with examples from biomedical and population health datasets. Some of the approaches covered will include linear, non-linear, and generalized linear mixed effects models, as well as generalized estimating equations and transition models, with distinctions drawn between subject-specific and population averaged approaches for generalized linear longitudinal response data. Also, there will be coverage of exploratory methods, evaluation of model assumptions and adapting to assumption violations, approaches for handling missing data, and treatment of advanced topics such as semiparametric and nonparametric models for longitudinal data. Software (e.g. R or SAS) will be used throughout the course.",waterloo
344,Statistical Consulting,stat 938,"This course will cover some of the basic tools of a statistical consultant. Topics will include the use of statistical packages, problem-solving techniques, discussion of common statistical consulting problems, effective communication of statistical concepts and management of consulting sessions.",waterloo
345,Topics in Probability and Statistics,stat 946,Topics of current interest,waterloo
346,Topics in Biostatistics,stat 947,Topics of current interest,waterloo
347,Financial Econometrics,stat 974,"The focus of this course is on the statistical modelling, estimation and inference and forecasting of nonlinear financial time series, with a special emphasis on volatility and correlation of asset prices and returns.  Topics to be covered normally include: review on distribution and dynamic behaviour of financial time series, univariate and multivariate GARCH processes, long-memory time-series processes, stochastic volatility models, modelling of extreme values, copulas, realized volatility and correlation modelling for ultra high frequency data and continuous time models.",waterloo
